Kanton;Gemeinde;FlÑche;LÑngengrad;Breitengrad
LU;Marbach (LU);4510;635833;189476
LU;Mauensee;716;647296;225037
LU;Meggen;728;670935;211578
LU;Meierskappel;679;676136;218772
LU;Menznau;3038;644953;213095
LU;Mosen;160;659704;232580
LU;MÅswangen;451;665050;232465
LU;Nebikon;373;641040;226868
LU;Neudorf;1282;658495;225251
LU;Neuenkirch;2548;658012;217221
LU;Nottwil;1031;652877;219889
LU;Oberkirch;910;650325;222836
LU;Ohmstal;445;639094;223278
LU;Pfaffnau;1763;633816;230515
LU;Pfeffikon;248;654981;233029
LU;Rain;939;662552;220400
LU;Reiden;1118;641828;233037
LU;Retschwil;261;661062;227755
LU;Richenthal;723;637381;228969
LU;Rickenbach (LU);940;653730;230983
LU;Roggliswil;621;633461;229203
LU;Rîmerswil;1396;662138;224285
LU;Romoos;3732;642242;206057
LU;Root;866;672089;218246
LU;Rothenburg;1557;662617;217408
LU;Ruswil;4520;652954;214285
LU;Schenkon;670;652688;225794
LU;Schlierbach;717;651534;230943
LU;Schongau;1245;662955;235511
LU;Schîtz;1089;641595;224285
LU;SchÅpfheim;3826;643628;199702
LU;Schwarzenbach;326;658585;231957
LU;Schwarzenberg;3925;656721;205262
LU;Sempach;891;657685;221225
LU;Sempachersee;1438;654352;221712
LU;Sulz (LU);385;664806;230561
LU;Sursee;586;650456;225405
LU;Triengen;849;648628;232035
LU;Udligenswil;623;672966;216003
LU;Uffikon;518;644392;229592
LU;Ufhusen;1224;634480;217538
LU;VierwaldstÑttersee (LU);4081;672413;208726
LU;Vitznau;891;680052;207861
LU;Wauwil;295;644540;226065
LU;Weggis;1180;676316;210052
LU;Werthenstein;1577;650846;209765
LU;Wikon;830;640900;235341
LU;Wilihof;240;647404;230148
LU;Willisau Land;3771;641558;216708
LU;Willisau Stadt;338;641589;219218
LU;Winikon;757;645781;231504
LU;Wolhusen;1430;646957;211538
LU;Zell (LU);1390;636995;220641
LU;Zugersee (LU);242;679268;218640
UR;Altdorf (UR);1021;691629;193726
UR;Andermatt;6220;691356;163941
UR;Attinghausen;4689;684312;186937
UR;Bauen;378;686378;198155
UR;BÅrglen (UR);5301;698507;195386
UR;Erstfeld;5912;688587;185234
UR;FlÅelen;1242;691973;196656
UR;Gîschenen;10435;681123;168632
UR;Gurtnellen;8335;690575;177605
UR;Hospental;3500;686055;162323
UR;Isenthal;6099;682757;193371
UR;Realp;7803;679066;159307
UR;Schattdorf;1631;694012;189428
UR;Seedorf (UR);1546;687441;192646
UR;Seelisberg;1334;686308;201389
UR;Silenen;14477;700279;181478
UR;Sisikon;1633;693066;198922
UR;Spiringen;6473;707088;192876
